time,symbol,timeframe,action,score,price,reasoning
2026-06-24T16:07:58.200Z,LINK,4h,WEAK_SELL,-25,7.385,RSI 31.0 (+5) | MACD (-15) | Trend (-15)
2026-06-24T16:07:58.194Z,BCH,4h,WEAK_SELL,-15,188.2,RSI 34.1 (+5) | MACD (-15) | Trend (-15) | Funding (+10)
2026-06-24T16:07:58.072Z,ETH,4h,SELL,-33,1621.21,RSI 30.3 (+5) | MACD (-15) | Trend (-15)
2026-06-24T16:07:57.890Z,SOL,4h,WEAK_SELL,-25,67.58,RSI 33.8 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:56:38.358Z,UNI,4h,WEAK_SELL,-25,2.823,RSI 37.4 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:56:37.416Z,LINK,4h,WEAK_SELL,-15,7.38,RSI 30.1 (+5) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T15:56:37.415Z,BCH,4h,WEAK_SELL,-15,188.3,RSI 33.8 (+5) | MACD (-15) | Trend (-15) | Funding (+10)
2026-06-24T15:56:37.114Z,SOL,4h,SELL,-33,67.45,RSI 32.4 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:44:35.717Z,FIL,4h,WEAK_SELL,-15,0.7441,RSI 36.8 (+5) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T15:44:35.684Z,APT,4h,WEAK_SELL,-15,0.6168,RSI 36.8 (+5) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T15:44:35.456Z,UNI,4h,WEAK_SELL,-25,2.836,RSI 38.3 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:44:34.972Z,BCH,4h,WEAK_SELL,-15,188.8,RSI 34.4 (+5) | MACD (-15) | Trend (-15) | Funding (+10)
2026-06-24T15:44:34.968Z,LINK,4h,WEAK_SELL,-15,7.398,RSI 30.6 (+5) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T15:44:34.929Z,SOL,4h,SELL,-33,67.71,RSI 33.3 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:44:34.278Z,ETH,4h,WEAK_SELL,-23,1626.48,RSI 30.4 (+5) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T15:43:45.503Z,BTC,paper,CLOSE_SHORT,0,60616.01,Paper MANUAL: ROE +1.35% on 15× SHORT
2026-06-24T15:37:36.125Z,BTC,paper,OPEN_SHORT,0,60700.76,Paper MARKET filled: 15× SHORT · margin $200.00
2026-06-24T15:31:32.866Z,BTC,paper,CLOSE_SHORT,0,60780,Paper MANUAL: ROE +0.67% on 5× SHORT
2026-06-24T15:31:00.330Z,ARB,4h,WEAK_SELL,-25,0.0767,RSI 31.4 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:31:00.328Z,FIL,4h,WEAK_SELL,-25,0.7552,RSI 39.6 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:31:00.166Z,APT,4h,WEAK_SELL,-25,0.6263,RSI 40.0 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:30:59.780Z,UNI,4h,WEAK_SELL,-25,2.864,RSI 40.3 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:30:59.352Z,DOT,4h,WEAK_SELL,-25,0.888,RSI 30.4 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:30:59.350Z,BCH,4h,WEAK_BUY,15,191.3,RSI 38.0 (+5) | MACD (+15) | Trend (-15) | Funding (+10)
2026-06-24T15:30:59.293Z,LINK,4h,WEAK_SELL,-25,7.466,RSI 32.8 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:30:59.178Z,SOL,4h,SELL,-39,68.37,RSI 35.6 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:30:58.891Z,BNB,4h,WEAK_SELL,-15,567.1,RSI 32.3 (+5) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T15:30:58.811Z,ETH,4h,SELL,-33,1642.13,RSI 33.0 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:26:30.207Z,BTC,paper,OPEN_SHORT,0,60891.79,Paper MARKET filled: 5× SHORT · margin $150.00
2026-06-24T15:26:01.716Z,BTC,paper,OPEN_LONG,0,60910.8,Paper MARKET filled: 5× LONG · margin $150.00
2026-06-24T15:25:01.154Z,BTC,4h,HOLD,0,60967.97,RSI 28.2 (+20) | MACD (-15) | Trend (-15) | BB (+10)
2026-06-24T15:24:48.030Z,ARB,4h,WEAK_SELL,-25,0.0767,RSI 31.4 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:48.028Z,APT,4h,WEAK_SELL,-25,0.6276,RSI 40.5 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:48.027Z,FIL,4h,WEAK_SELL,-25,0.7558,RSI 39.7 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:47.761Z,UNI,4h,WEAK_SELL,-25,2.875,RSI 41.1 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:47.747Z,LTC,4h,WEAK_SELL,-25,41.45,RSI 30.5 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:47.480Z,DOT,4h,WEAK_SELL,-25,0.888,RSI 30.4 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:47.411Z,BCH,4h,WEAK_BUY,15,191.7,RSI 38.7 (+5) | MACD (+15) | Trend (-15) | Funding (+10)
2026-06-24T15:24:47.410Z,LINK,4h,WEAK_SELL,-25,7.499,RSI 33.9 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:47.095Z,SOL,4h,SELL,-39,68.5,RSI 36.2 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:46.898Z,ETH,4h,SELL,-33,1645.38,RSI 33.6 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:46.831Z,BNB,4h,WEAK_SELL,-25,569.1,RSI 33.7 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:24:34.604Z,BTC,paper,OPEN_SHORT,0,61100,Paper LIMIT placed: 5× SHORT · margin $500.00
2026-06-24T15:22:33.015Z,BTC,paper,OPEN_LONG,0,61100,Paper LIMIT placed: 5× LONG · margin $500.00
2026-06-24T15:20:41.626Z,NES,4h,HOLD,6,0.29148,
2026-06-24T15:18:55.899Z,APT,4h,WEAK_SELL,-25,0.6269,RSI 40.2 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:18:55.897Z,ARB,4h,WEAK_SELL,-25,0.0766,RSI 31.2 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:18:55.813Z,FIL,4h,WEAK_SELL,-25,0.754,RSI 39.3 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:18:55.549Z,LTC,4h,WEAK_SELL,-25,41.4,RSI 30.2 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:18:55.423Z,UNI,4h,WEAK_SELL,-25,2.866,RSI 40.4 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:18:55.105Z,LINK,4h,WEAK_SELL,-25,7.474,RSI 33.0 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:18:55.042Z,BCH,4h,WEAK_BUY,15,191.4,RSI 38.2 (+5) | MACD (+15) | Trend (-15) | Funding (+10)
2026-06-24T15:18:55.019Z,DOT,4h,WEAK_SELL,-25,0.887,RSI 30.2 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:18:54.730Z,SOL,4h,SELL,-39,68.44,RSI 35.9 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:18:54.379Z,ETH,4h,SELL,-33,1642.52,RSI 33.1 (+5) | MACD (-15) | Trend (-15)
2026-06-24T15:18:54.345Z,BNB,4h,WEAK_SELL,-25,568.5,RSI 33.3 (+5) | MACD (-15) | Trend (-15)
